Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
90,Hofstra,CAA,24-9,8.34,110.3,102,67.3,0.032,-3.39,103,106.4,6.8
91,UNLV,MWC,19-13,8.25,107.9,99.7,69.6,0.014,5.65,108,102.3,-2.47
92,Louisiana,SB,26-7,8.19,112.4,104.2,68.5,0.077,-0.23,104.4,104.6,0.27
93,San Jose St.,MWC,20-13,7.92,110.8,102.8,62.8,0.086,6.92,108.7,101.7,-1.06
94,Saint Louis,A10,21-11,7.74,111.6,103.9,69.3,0.033,2.05,105.2,103.2,4.11
95,South Alabama,SB,19-16,7.73,108.3,100.5,65.9,-0.111,0.95,105,104.1,3.82
96,Indiana St.,MVC,22-12,7.41,110.7,103.3,70.7,-0.104,-4.44,102.2,106.7,-6.5
97,Nebraska,B10,16-16,7.39,106.7,99.3,67.2,0.053,10.35,110.6,100.2,1.95
98,Southern Miss,SB,25-7,7.33,108.2,100.8,68.6,0.094,-0.74,104.9,105.6,-3.26
99,Tulane,Amer,20-10,7.31,111.3,103.9,73.1,0.052,1.25,105.3,104.1,-7.84
100,UC Irvine,BW,23-11,7.3,107.8,100.5,69.7,-0.045,-0.73,103.6,104.4,3.42
101,San Francisco,WCC,20-14,6.93,110.2,103.3,68.7,0.019,4.07,108.3,104.2,-2.5
102,James Madison,SB,22-11,6.76,106.8,100.1,70.6,-0.053,-1.37,103.9,105.2,-4.2
103,Southern Utah,WAC,22-11,6.7,110.9,104.2,72.1,0.037,3.38,106.3,102.9,5.45
104,Wichita St.,Amer,17-15,6.51,106.8,100.3,66.4,-0.049,2.84,106.6,103.7,-1.88
105,Akron,MAC,22-11,6.45,110.2,103.7,65.4,0.002,-1.73,105.2,106.9,-0.48
106,Colorado St.,MWC,15-18,6.39,112.3,105.9,66.3,-0.055,7.43,108.6,101.2,2.18
107,Washington,P12,16-16,6.38,105.9,99.5,69.3,0.037,8.12,108.3,100.2,-0.07
108,Loyola Marymount,WCC,19-12,6.29,110.1,103.8,67.2,0.079,4.35,109.1,104.7,0.41
109,UC Santa Barbara,BW,26-7,6.19,111.5,105.3,64.8,0.057,-2.54,102.8,105.4,-2.67
110,Montana St.,BSky,25-9,5.77,105.5,99.7,66.6,0.082,-1.03,106.4,107.5,4.52
111,Colgate,Pat,26-8,5.29,113.1,107.8,68,0.004,-7.65,100.8,108.5,-1.1
112,Grand Canyon,WAC,23-11,5.11,112.1,107,65.3,0.045,0.93,104.7,103.7,0.17
113,Vermont,AE,22-10,5.05,110,105,64.7,0.048,-3.61,103.5,107.1,5.95
114,Cal St. Fullerton,BW,20-12,5.04,105.6,100.5,64.7,0.018,0.84,104.7,103.9,3.95
115,Mississippi,SEC,21-Dec,4.94,106.8,101.9,66.2,-0.078,7.96,109,101,1.31
116,UNC Greensboro,SC,20-12,4.93,103.6,98.7,66.1,-0.044,-2.32,105.6,107.9,2.92
117,Princeton,Ivy,19-8,4.64,108.3,103.7,67.8,0.013,-2.93,103.2,106.1,-4.83
118,Charlotte,CUSA,18-14,4.59,108,103.4,60.6,-0.038,-0.71,104.7,105.4,-6.99
119,Temple,Amer,16-16,4.58,107.3,102.8,66.2,0.021,5.08,107.1,102,1.33
120,Syracuse,ACC,17-15,4.5,110.5,106,67.6,0.002,2.96,107.7,104.8,-5.72
121,Middle Tennessee,CUSA,19-14,4.11,106.5,102.4,67.1,0.027,2.74,107.1,104.3,1.8
122,Eastern Washington,BSky,22-10,4.1,111.7,107.6,68.6,0.064,-1.57,104.9,106.5,1.99
123,Belmont,MVC,21-11,4.09,111.7,107.6,68.5,0.025,-1.43,104,105.4,0.88
124,Duquesne,A10,20-12,3.99,108.8,104.8,68.3,0.012,-1.68,104.8,106.5,-3.94
125,Butler,BE,14-18,3.96,102.4,98.5,65.6,-0.001,9.89,110.9,101,1.24
126,Hawaii,BW,22-11,3.87,102.1,98.3,64.9,-0.014,-3.04,103.1,106.1,-5.62
127,Kennesaw St.,ASun,26-8,3.6,106.4,102.8,68.6,0.147,-1.52,105.3,106.8,4.98
128,Troy,SB,20-13,3.57,104.9,101.4,68,-0.02,-0.07,104.7,104.8,0.15
129,Youngstown St.,Horz,24-9,3.56,113.1,109.5,68.1,-0.01,-6.58,102.4,109,-5.33
130,Towson,CAA,21-12,3.47,108.3,104.8,65,-0.048,-4.65,102.4,107,-3.46
131,Ohio,MAC,19-14,3.42,111,107.6,68.5,-0.038,-2.06,105.9,107.9,0.18
132,Penn,Ivy,17-12,3.23,110.3,107.1,67.1,0.008,-0.93,104.8,105.7,-0.54
133,Stephen F. Austin,WAC,19-13,3.19,105.6,102.4,69.4,-0.004,0.1,105.2,105.1,-1.68
134,UMass Lowell,AE,26-7,3.09,108.5,105.4,69,0.013,-10.77,98.5,109.3,-12.59
135,Fresno St.,MWC,20-Nov,2.98,103.6,100.6,64.4,-0.083,6.83,109.6,102.8,1.15
136,Samford,SC,21-11,2.93,109.4,106.5,68.5,0.002,-3.83,104.3,108.1,-1.57
137,Southern Illinois,MVC,23-10,2.92,101.5,98.5,64,0.087,-1.94,104,105.9,-3.15
138,Fordham,A10,25-7,2.84,102.7,99.8,70,0.127,-4.96,101.8,106.8,-13.43
139,UC Riverside,BW,22-12,2.68,107.9,105.3,67,0.097,0.42,104.7,104.3,4.49
140,Davidson,A10,16-16,2.43,107.7,105.3,65.2,-0.034,1.21,105,103.8,-1.38
141,Seattle,WAC,20-12,2.34,102.2,99.8,69.3,0.092,1.59,106.5,104.9,1.14
142,Cornell,Ivy,17-10,2.31,112.9,110.6,71.3,-0.013,-2.54,103.5,106,-4.54
143,DePaul,BE,23-Oct,2.27,107.9,105.6,68.9,-0.012,10.21,110.5,100.3,2.36
144,Air Force,MWC,14-18,1.97,106.4,104.4,63.3,-0.057,2.43,107.2,104.8,-10.19
145,LSU,SEC,14-19,1.6,106.7,105.1,66,0.027,6.71,108.7,102,-6.16
146,Utah Tech,WAC,14-19,1.54,108,106.4,68.7,-0.1,2.93,106.5,103.5,4.21
