RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ_T,WAB
343,Lindenwood,OVC,29,21-Nov,95.8,112.5,0.1357,48.8,52.4,19.5,17.8,23,31,28.3,31.1,45.7,52,36.2,35.2,67.1,-16.3
344,Coppin St.,MEAC,32,23-Sep,97.8,115.3,0.1309,51,53.2,20.1,18.5,18.6,35.7,37.2,34.2,51.4,55,33.7,33.8,72,-16.3
345,Central Connecticut,NEC,32,22-Oct,96.4,114.2,0.1252,48.1,51.3,17.9,16.4,28.5,28.2,23.3,26.5,47.5,50.2,32.7,35.4,64.4,-18.5
346,Bethune Cookman,SWAC,30,20-Dec,96.7,114.6,0.1239,46.6,52.7,18.3,19.3,26.9,34.7,32.1,35.2,43.1,52.1,35.8,35.8,68.8,-15.6
347,Albany,AE,29,23-Aug,97.7,116.1,0.121,47.3,55.3,19.2,16.6,27.8,26.7,31,36.8,46.6,56.5,32.2,35.3,67.4,-17.4
348,Houston Christian,Slnd,29,22-Oct,101.2,120.3,0.1203,51.4,57.5,21.1,16.7,28,31.6,40.6,33.3,49.5,57.9,36.1,37.8,70.7,-17.7
349,Hampton,CAA,31,24-Aug,97.4,115.8,0.1201,45.1,53.9,16,15.7,26.5,30.3,32.1,35.3,43.4,52.2,32.1,37.9,68.9,-18.4
350,Evansville,MVC,32,27-May,91.3,108.9,0.1173,45.1,55.8,17.6,18.9,20.7,25.5,29.4,30.1,43.4,54.8,32.2,38.1,69.6,-20.1
351,Eastern Illinois,OVC,29,22-Sep,93.6,111.6,0.117,48,52.2,19.2,19.7,25.3,32.2,32.4,32.5,47.7,52.4,32.6,34.6,68,-17.8
352,Monmouth,CAA,33,26-Jul,91.9,109.7,0.1155,43.8,54.4,21.1,21,30.3,32.9,33.1,38.8,44,53.4,28.8,37,68.4,-19
353,Alabama St.,SWAC,30,23-Aug,92.2,110.8,0.1076,42.3,49.7,18.7,17.7,31.7,34.4,31.2,34.6,40.4,48.9,30.8,34.2,66.4,-17.1
354,VMI,SC,29,25-Jul,97.4,117.6,0.1031,47.8,56.9,19.3,14.6,28.9,27.3,21,28.1,45,57.7,34.2,37.4,66.8,-19.9
355,Lamar,Slnd,28,22-Sep,94.7,114.5,0.1019,47.6,53,21.2,17.1,31.9,33.5,32.2,30.8,47.5,54.5,31.9,34.1,65.8,-18.3
356,Mississippi Valley St.,SWAC,32,27-May,92.6,112,0.101,45.4,53.3,23.4,19.5,28.7,32.4,38,39.8,42.8,53,34.9,35.8,67.2,-20
357,Florida A&M,SWAC,27,22-Jul,89.9,108.8,0.1,45,51.1,24,18,27.6,33.6,31.4,44.6,43.2,51.8,32.1,33.2,65.1,-16.2
358,St. Francis NY,NEC,28,14-16,90.8,110.4,0.0961,45.9,50.5,21.1,19.6,30.9,31.8,31.1,31.6,41.6,47.1,36.5,39.7,65.9,-13.1
359,Delaware St.,MEAC,27,23-Jun,91.6,111.6,0.0933,45.7,54.4,23.5,19,30.1,29.4,29.3,37,45.1,50.6,31.4,39.5,67.7,-17.5
360,IUPUI,Horz,30,27-May,96.2,118.4,0.0836,49.7,55,23.2,16.7,29,31.9,32.2,36,51.7,54.6,29.8,37.2,67.1,-22.3
361,Green Bay,Horz,32,29-Mar,91.2,114.9,0.0655,46,54.8,21.1,16.1,21.7,32.4,31.5,31.6,46.6,56.1,30.1,35,65.2,-23
362,Hartford,ind,25,23-May,90.2,118.5,0.0417,47.7,55.4,22.7,17.6,25.2,33.5,24.1,27.7,47.4,53.8,32,38.7,65.5,-19.9
363,LIU Brooklyn,NEC,27,26-Mar,86.8,117.4,0.0302,45.6,55.1,22.7,16.7,24.7,30.3,31.7,32.1,44.8,54.6,32,37.4,72.6,-21.4
