RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ_T,WAB
239,Milwaukee,Horz,29,21-11,102.1,107.5,0.3542,51.8,48.2,21.5,17.7,32.7,32.8,31.9,29.4,51.4,49,35,31.4,71.8,-6.1
240,Wofford,SC,30,17-16,108.2,114.1,0.3519,52.4,54.8,16.3,16.6,28.6,28.7,30,26.4,55.1,56.1,32.1,35.3,65.1,-9.7
241,Northern Illinois,MAC,30,13-19,100.6,106.3,0.3471,52.2,50.7,20.3,18.6,25,32.8,34.3,35.8,52.1,51.7,34.9,32.7,69,-12.1
242,Rhode Island,A10,31,22-Sep,97.6,103.1,0.3466,44.2,49.1,20.4,17.2,31.6,29.5,37,31.7,43.6,49.6,30.4,32.1,67.2,-15.7
243,Robert Morris,Horz,31,16-17,98.1,104.1,0.3361,49.2,49.6,19.5,19.1,29.7,28.5,26.9,31.1,50.4,47.4,31.4,36.2,66.2,-12
244,Idaho St.,BSky,30,21-Nov,101.8,108.1,0.3346,50.8,51.4,17.2,17.8,24.6,27.2,28.9,35.5,51.3,52.6,33.3,32.5,65.2,-15.3
245,Fort Wayne,Horz,30,17-15,100,106.2,0.3331,50.5,51.9,18.9,17.7,27.1,26.1,28.7,23,50.8,55.2,33.5,31.2,69,-10
246,Western Carolina,SC,30,18-15,101.7,108,0.332,49,51.1,15.7,15.7,25.8,25.5,34.5,34,48.1,51.7,33.6,33.1,67.6,-9.5
247,Winthrop,BSth,30,15-17,107.7,114.6,0.3274,55.1,54.8,20.6,17.4,25.9,34.2,41.6,31,53.8,55.5,37.9,35.8,66.9,-11.2
248,North Alabama,ASun,29,18-14,104.5,111.3,0.3266,51.3,52.4,15.6,15.2,23.2,28.1,30.9,32,49.9,50,36.1,37.7,68.5,-7.8
249,East Tennessee St.,SC,30,20-Dec,100.5,107.1,0.3252,50.5,50.8,19.5,17.5,29.9,28.9,31.2,26.9,51.8,51.8,32.1,32.9,65.9,-15.1
250,Canisius,MAAC,29,20-Oct,101.5,108.2,0.3251,48.6,52.8,17.5,18.7,28.4,29.9,24.9,27.7,47.4,52,33.6,36.4,67.6,-14.9
251,UMBC,AE,31,18-14,104.5,111.4,0.3232,51.3,52.9,14.8,16.9,26.4,26.8,27,25.6,51.8,50.6,33.8,37.7,67.7,-9.5
252,USC Upstate,BSth,29,16-15,98.7,105.3,0.3223,51.1,50,19.5,20.5,24.5,32.7,32.2,43.8,51.5,49.3,33.6,34.2,67.9,-9.7
253,Bellarmine,ASun,30,15-18,102.2,109.2,0.3166,51.7,54.7,18.2,17.7,20.6,28.1,25.4,31.8,53.9,55,32.6,36.3,62.1,-10.1
254,Alcorn St.,SWAC,31,18-13,101,108.3,0.3108,45.5,51.4,18.3,21.1,33.5,31.3,35.1,39.1,46,52.5,29.6,33.2,67.2,-6.9
255,UT Rio Grande Valley,WAC,28,15-17,102.7,110.1,0.3102,51.2,52,22.2,16.9,29,29.5,45.9,38.9,51.7,51.9,33.5,34.8,72.6,-10.2
256,Sacramento St.,BSky,30,14-18,101.8,109.2,0.3091,50.8,52.2,20.8,14.5,32.9,24,27.5,25.8,50,51.6,34.9,35.7,62.3,-11.5
257,Niagara,MAAC,30,16-15,100.9,108.2,0.3086,50.3,49.8,18.5,16.9,26.5,28.6,30,33.5,50.1,48,33.8,36,63,-10
258,SIU Edwardsville,OVC,30,19-14,99.2,106.4,0.3082,48.5,49,18.5,19.2,30.6,29.4,40.3,34.6,48.5,48.1,32.3,33.6,69.2,-10.3
259,Southeastern Louisiana,Slnd,29,18-14,103,110.8,0.3023,50.9,54.2,16.9,19.8,27.6,29.9,32.1,33.4,49.1,52.1,36.4,38.2,68.8,-9.1
260,Mount St. Mary's,MAAC,32,13-20,97.7,105.1,0.3013,48.6,48.9,20.8,17.9,27.8,29.9,26,29.2,45.8,48,36,33.7,65.8,-14.3
261,Dartmouth,Ivy,26,18-Oct,99.7,107.3,0.3008,50,51.3,20.2,16.5,23.5,26.2,29.1,31.7,50.8,51.6,32.6,34,68.7,-12.9
262,Louisiana Monroe,SB,29,21-Nov,97.6,105.4,0.2939,45.2,51.7,18.7,17.6,27.3,29.9,30,28.6,41.6,50.3,34.2,36,66.1,-13.5
263,Southeast Missouri St.,OVC,33,19-16,100.3,108.3,0.2928,50,51.6,17.3,19,25.3,27.9,38.3,43.6,50,50.8,33.3,35.3,72.2,-11.4
264,California,P12,32,29-Mar,96.4,104.2,0.2903,43.7,51.6,20.1,16,25.3,30.4,31.5,32.6,43.2,52.5,29.8,33.4,63.4,-16.6
265,North Dakota,Sum,31,13-20,103.4,111.8,0.2901,51,53.5,16.7,15.5,25.7,27.4,27.3,28,50.6,53,34.4,36.4,67,-14.1
266,Fairfield,MAAC,30,13-18,98.2,106.2,0.2887,46,49.3,18.2,17.8,28.6,29.5,37.9,28.1,47.8,51.7,28.6,29.3,65,-13
267,Miami OH,MAC,29,20-Dec,102.6,111.2,0.2853,52,53.8,19.6,17.8,26.6,32.6,32.1,37.1,53.8,54.1,32.9,35.4,66.8,-14.2
268,Lafayette,Pat,34,23-Nov,94.7,102.6,0.2837,48.7,50.8,17.9,18.2,23.8,25.3,24.5,29.4,48.4,50.6,32.7,34.1,63,-16.6
269,Nicholls St.,Slnd,27,16-15,99,107.5,0.2804,50.3,52.5,18.5,23.7,29.3,33.7,27.6,47.6,50.5,51.4,33.3,36.2,70.6,-9.4
270,Prairie View A&M,SWAC,30,13-19,93.8,101.9,0.2793,44.8,48.2,19.6,21.2,31.7,28.7,33,41.8,44,47.3,30.9,33.3,67.6,-13.6
271,Bowling Green,MAC,29,20-Nov,103.2,112.1,0.2788,50.5,54.1,17.5,16.3,29.8,28,32.5,33.6,50.4,53.8,33.8,36.4,69.6,-15.1
272,UTSA,CUSA,30,22-Oct,101.8,110.5,0.2787,47.4,52.5,19.5,15.4,28.5,31.2,37.4,30.6,45.3,51.9,33.8,35.6,69.1,-14.4
273,Maryland Eastern Shore,MEAC,27,18-13,92.9,100.9,0.278,47.6,50.6,21.1,24.9,27.1,31.7,31.4,34.4,46.8,51.4,32.6,32.9,69.4,-7.7
274,Louisville,ACC,32,28-Apr,101.3,110.2,0.2762,48,54.1,22.3,15.2,28.2,30.1,32.9,30.6,47.3,54.9,32.9,35.2,66.6,-17
275,Denver,Sum,30,15-17,100.4,109.3,0.2743,52.3,51.7,21.4,15.6,29.8,27.4,39.4,27.7,53.4,52.2,32.9,33.9,68.6,-12.7
276,Tennessee St.,OVC,28,18-14,100.7,109.6,0.2738,50.9,49.9,17.3,18.5,26.9,28.2,35.1,42.4,49.6,49.5,35.1,33.8,70.5,-11.3
277,Marist,MAAC,33,13-20,97.6,106.3,0.2713,47.9,47.9,18.1,16.8,25.9,28.9,28.9,28.4,46.9,45.1,32.8,35,65.6,-15.8
278,Oakland,Horz,31,13-19,102.5,111.7,0.2708,49.2,54.8,15.1,18.7,24.2,32.7,31.6,22.5,51.3,53.9,30.6,37.5,68.5,-12.7
279,Tennessee Martin,OVC,29,19-14,101.2,110.3,0.2699,50.4,49.6,16.8,16.8,27,29,36.1,34,51.9,50.5,31.9,32.3,71.1,-10.6
280,Tennessee Tech,OVC,30,16-17,101.1,110.2,0.2698,51.4,51.7,17.8,18,23.8,30.2,29.9,25.8,48.1,52.1,37.3,34,66.4,-12.6
281,Southern Indiana,OVC,29,16-16,102.5,112,0.2663,50.5,51.8,18.3,16.7,32.6,25,33.4,40.3,47.2,51,36.6,35.2,69.4,-12.4
282,Texas Southern,SWAC,32,14-20,96.4,105.3,0.2663,46.2,49.3,20.3,18.5,29.3,27.7,34.9,38.1,47.4,48.7,28.7,33.6,69.4,-13.3
283,Illinois Chicago,MVC,31,20-Dec,98.5,107.6,0.2655,48.7,51.2,18.3,19.6,22.7,30.3,34.1,33,47.9,51.1,33.2,34.3,69,-13.8
284,New Hampshire,AE,28,15-15,97,106.1,0.2633,45.8,49.1,15,16.2,26,27.4,29.6,30.2,42.8,50,33.4,31.5,64.1,-10.6
285,Valparaiso,MVC,31,21-Nov,97.9,107.1,0.2626,49,51.5,18.1,15.6,22.5,24.5,27.9,31.8,51.9,51.6,29.2,34.3,68,-14.5
286,Lehigh,Pat,28,16-14,97.4,106.7,0.2583,49.8,50.3,17.4,16.6,18.8,26.7,31.1,28.5,48.4,50.9,35,32.8,69.6,-9.9
287,Arkansas St.,SB,30,13-20,99.4,109.2,0.2548,47.6,50.3,18.1,16.6,28.8,28,35.1,34.8,45.5,48,34.6,36.4,63.2,-14.3
288,Maine,AE,28,13-17,98.2,107.8,0.2541,51.1,53.4,18.7,20.3,22.9,30,23,28.7,51.5,54.4,33.5,34.6,65.8,-11.7
